artist_id,artist_name,birth_year,death_year,nationality,gender,primary_medium,artist_website_url,bio_source_url,bio_confidence_score,gallery_name,gallery_city,gallery_country,gallery_tier,gallery_prestige_score,gallery_start_date,gallery_source_url,gallery_confidence_score,museum_name,museum_city,museum_country,museum_tier,museum_event_type,event_name,event_start_date,event_end_date,event_source_url,event_confidence_score,acquisition_date,acquisition_value_usd,acquisition_source_url,acquisition_confidence_score,art_fair_name,art_fair_date,art_fair_city,art_fair_country,art_fair_source_url,art_fair_confidence_score,auction_house,sale_name,lot_number,sale_date,work_title,work_medium,creation_year,estimate_low_usd,estimate_high_usd,price_usd,currency,auction_source_url,auction_confidence_score,press_outlet,article_title,article_author,publication_date,article_url,mention_count,sentiment_score,press_confidence_score,collector_name,collector_type,collector_source_url,collector_confidence_score,curator_name,curator_source_url,curator_confidence_score,notes
artist_pavlo_kerestey,Pavlo Kerestey,1962,,,male,painting,,https://voloshyngallery.art/artists/37-pavlo-kerestey/,1,Voloshyn Gallery,Miami,United States,,,,https://voloshyngallery.art/contact/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_pavlo_kerestey,Pavlo Kerestey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillips,Under the Influence,137,10/12/2014,Group Dynamics,Oil on canvas,2013,15694,23541,21653,GBP,https://www.phillips.com/detail/pavlo-kerestey/81963,1,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,Lismore Castle,County Waterford,Ireland,,,,https://lismorecastlearts.ie/whats-on/kaye-donachie,1,,,,,gallery_exhibition,Into The Thousand Mirrors,28/08/2021,31/10/2021,https://lismorecastlearts.ie/whats-on/kaye-donachie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,Yuka Tsuruno Gallery,Tokyo,Japan,,,,https://yukatsuruno.com/gallery/exhibitions,1,,,,,gallery_exhibition,"There might be someone else inside you, said the Mirror, beside you",19/10/2019,21/12/2019,https://yukatsuruno.com/gallery/exhibitions/kayedonachie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vogue,"""I've Never Worked With Anyone Alive Before"": Erdem On HIs First Ever Artist Collaboration For AW25",Emily Chan,23/02/2025,https://www.vogue.co.uk/article/erdem-aw25,1,0.8,1,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contemporary Art Issue,10 Portrait Painters Today You Need To Know,Julian Delagrange,23/10/2024,https://www.contemporaryartissue.com/10-portrait-painters-today-you-need-to-know/,1,0.8,1,,,,,,,,
artist_kaye_donachie,Kaye Donachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artforum,"Kaye Donachie, Maureen Paley",Andrew Hunt,01/08/2024,https://www.artforum.com/events/andrew-hunt-kaye-donachie-maureen-paley-2024-554844/,1,0.7,1,,,,,,,,
artist_pavlo_kerestey,Pavlo Kerestey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillips,Contemporary Art Day Sale,278,17/10/2013,Gruppendynamik,"Acrylic, oil on canvas",2011,16120,24180,20150,GBP,https://www.phillips.com/detail/pavlo-kerestey/76124,1,,,,,,,,,,,,,,,,
artist_pavlo_kerestey,Pavlo Kerestey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillips,Contemporary Art Day Sale,233,28/06/2013,"Kids on Trees, Sit-in","Acrylic, oil on canvas",2012,15240,22860,17145,GBP,https://www.phillips.com/detail/pavlo-kerestey/74042,1,,,,,,,,,,,,,,,,
artist_pavlo_kerestey,Pavlo Kerestey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillips,Under the Influence,131,11/04/2013,We need hardly give instructions on the art of evasions of radical responce,Oil on canvas,2006,9210,12280,12474,USD,https://www.phillips.com/detail/pavlo-kerestey/72510,1,,,,,,,,,,,,,,,,
